date,srcversion,block,position,cond,knobs,gbps,retransmits,rx_window_gbps,window_s,softirq_ce,system_ce,total_busy_ce,ping_ms,hs_age_s,unc_n,unc_total_ns,steal_pulled,steal_unblocked,steal_dryruns,dmesg_new,raw_ref
2026-07-16T09:27:04-05:00,40814CD3CA80D0908BF87D3,8,4,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1615,2684,4.3688,30.390,0.998,4.779,4.812,0.620,22,NA,NA,NA,NA,NA,0,iperf_b8p4_off.json
2026-07-16T09:27:46-05:00,40814CD3CA80D0908BF87D3,9,1,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.2538,2478,4.4630,30.394,0.994,4.597,4.622,0.559,64,NA,NA,NA,NA,NA,0,iperf_b9p1_steal4.json
2026-07-16T09:28:28-05:00,40814CD3CA80D0908BF87D3,9,2,bsteal4,supp=1;headwake=1;steal=4;diag=0;delay=0;trig_k=0,4.2517,2983,4.4614,30.394,0.993,4.602,4.629,0.594,106,NA,NA,NA,NA,NA,0,iperf_b9p2_bsteal4.json
2026-07-16T09:29:10-05:00,40814CD3CA80D0908BF87D3,9,3,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1286,2243,4.3325,30.390,0.990,4.756,4.786,0.583,28,NA,NA,NA,NA,NA,0,iperf_b9p3_off.json
2026-07-16T09:29:52-05:00,40814CD3CA80D0908BF87D3,9,4,both,supp=1;headwake=1;steal=0;diag=0;delay=0;trig_k=0,4.0735,1935,4.2743,30.393,0.986,4.700,4.735,0.617,70,NA,NA,NA,NA,NA,0,iperf_b9p4_both.json
2026-07-16T09:30:34-05:00,40814CD3CA80D0908BF87D3,10,1,both,supp=1;headwake=1;steal=0;diag=0;delay=0;trig_k=0,4.1501,2394,4.3558,30.394,0.992,4.708,4.742,0.612,112,NA,NA,NA,NA,NA,0,iperf_b10p1_both.json
2026-07-16T09:31:16-05:00,40814CD3CA80D0908BF87D3,10,2,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1356,2655,4.3412,30.394,0.993,4.699,4.732,0.588,34,NA,NA,NA,NA,NA,0,iperf_b10p2_off.json
2026-07-16T09:31:58-05:00,40814CD3CA80D0908BF87D3,10,3,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.2950,2562,4.5090,30.390,0.995,4.612,4.641,0.563,76,NA,NA,NA,NA,NA,0,iperf_b10p3_steal4.json
2026-07-16T09:32:41-05:00,40814CD3CA80D0908BF87D3,10,4,bsteal4,supp=1;headwake=1;steal=4;diag=0;delay=0;trig_k=0,4.3106,2291,4.5233,30.394,0.993,4.681,4.709,0.570,119,NA,NA,NA,NA,NA,0,iperf_b10p4_bsteal4.json
2026-07-16T09:33:23-05:00,40814CD3CA80D0908BF87D3,11,1,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.2500,2458,4.4594,30.398,0.988,4.643,4.671,0.621,39,NA,NA,NA,NA,NA,0,iperf_b11p1_steal4.json
2026-07-16T09:34:05-05:00,40814CD3CA80D0908BF87D3,11,2,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1685,2349,4.3753,30.394,0.991,4.754,4.788,0.590,81,NA,NA,NA,NA,NA,0,iperf_b11p2_off.json
2026-07-16T09:34:47-05:00,40814CD3CA80D0908BF87D3,11,3,bsteal4,supp=1;headwake=1;steal=4;diag=0;delay=0;trig_k=0,4.2878,2776,4.4986,30.395,0.991,4.582,4.608,0.638,3,NA,NA,NA,NA,NA,0,iperf_b11p3_bsteal4.json
2026-07-16T09:35:29-05:00,40814CD3CA80D0908BF87D3,11,4,both,supp=1;headwake=1;steal=0;diag=0;delay=0;trig_k=0,4.1905,2229,4.3981,30.395,0.991,4.761,4.793,0.557,45,NA,NA,NA,NA,NA,0,iperf_b11p4_both.json
2026-07-16T09:36:11-05:00,40814CD3CA80D0908BF87D3,12,1,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.1352,2767,4.3403,30.393,0.985,4.564,4.591,0.629,87,NA,NA,NA,NA,NA,0,iperf_b12p1_steal4.json
2026-07-16T09:36:53-05:00,40814CD3CA80D0908BF87D3,12,2,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1749,2664,4.3815,30.394,0.993,4.742,4.773,0.610,9,NA,NA,NA,NA,NA,0,iperf_b12p2_off.json
2026-07-16T09:37:35-05:00,40814CD3CA80D0908BF87D3,12,3,bsteal4,supp=1;headwake=1;steal=4;diag=0;delay=0;trig_k=0,4.1853,2368,4.3922,30.390,0.990,4.538,4.565,0.594,51,NA,NA,NA,NA,NA,0,iperf_b12p3_bsteal4.json
2026-07-16T09:38:18-05:00,40814CD3CA80D0908BF87D3,12,4,both,supp=1;headwake=1;steal=0;diag=0;delay=0;trig_k=0,4.1821,2799,4.3896,30.393,0.990,4.707,4.738,0.611,94,NA,NA,NA,NA,NA,0,iperf_b12p4_both.json
