date,srcversion,block,position,cond,knobs,load_window_gbps,load_iperf_gbps,window_s,retransmits,total_run_sent_msgs,total_run_recv_msgs,lat_duration_s,valid_sent_msgs,valid_recv_msgs,valid_dropped_msgs,valid_dup_msgs,valid_ooo_msgs,lat_n,p50_half_rtt_us,p90_half_rtt_us,p99_half_rtt_us,p999_half_rtt_us,max_half_rtt_us,softirq_ce,system_ce,total_busy_ce,ping_ms,hs_age_s,unc_n,unc_total_ns,steal_pulled,steal_unblocked,steal_dryruns,dmesg_new,raw_ref
2026-07-17T03:03:44-05:00,40814CD3CA80D0908BF87D3,1,1,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,4.0356,3.3511,62.443,1072,28967,28966,23.294,28368,28368,0,0,0,28368,392.785,610.795,826.474,986.608,1443.679,0.899,4.426,4.456,0.552,95,1022,49820117,1917675,1880431,262740,0,iperf_b1p1_bsteal4.json;sockperf_b1p1_bsteal4.txt
2026-07-17T03:05:41-05:00,40814CD3CA80D0908BF87D3,1,2,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,4.0364,3.3511,62.462,939,75918,75917,59.550,75183,75183,0,0,0,75183,375.442,599.399,809.598,956.095,4595.930,0.906,4.473,4.505,0.589,88,7938,452752467,2069261,2028615,287663,0,iperf_b1p2_steal4.json;sockperf_b1p2_steal4.txt
2026-07-17T03:07:28-05:00,40814CD3CA80D0908BF87D3,1,3,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,4.0366,3.3512,62.481,686,90804,90803,59.550,90106,90106,0,0,0,90106,338.487,459.496,598.497,808.472,1720.025,0.892,4.972,5.030,0.549,75,839336,25080753702,0,0,0,0,iperf_b1p3_off.json;sockperf_b1p3_off.txt
2026-07-17T03:09:15-05:00,40814CD3CA80D0908BF87D3,1,4,both,supp=1;headwake=1;steal=0;diag=1;delay=0;trig_k=0,4.0353,3.3512,62.447,786,17297,17296,11.120,16625,16625,0,0,0,16625,341.230,479.365,662.686,927.083,1248.258,0.874,4.600,4.650,0.552,62,35083,1121573561,0,0,0,0,iperf_b1p4_both.json;sockperf_b1p4_both.txt
