date,commit,host,condition,peers,load_target_gbps,load_actual_gbps,latency_tool,lat_samples,p50_us,p99_us,p999_us,softirq_ce,system_ce,total_busy_ce,wasted_poll_pct,fresh_wake_pct,retransmits,drops,nic_irq_count,sdfn_state,notes
2026-07-01T06:06:13-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1458,sockperf,20398,720.769,1181.568,1311.916,1.037,5.789,5.869,NA,NA,57598,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:06:49-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1627,sockperf,19810,731.635,1170.381,1312.901,1.036,5.776,5.861,NA,NA,55169,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:08:06-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.1100,sockperf,40696,217.560,1584.671,1799.973,0.831,3.691,3.723,NA,NA,2085,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
