date,srcversion,delay_ns,rep,class,episodes,total_ns,max_ns,le16us,le128us,le1ms,gt1ms,mean_us,load_actual_gbps
2026-07-09T07:29:37-05:00,47258C70F0E6518314B18E2,0,1,empty,148528,151997129244,11542881,907,111563,11405,24703,1023.4,1.6046
2026-07-09T07:29:37-05:00,47258C70F0E6518314B18E2,0,1,uncrypt,131578,14625621862,2237494,8148,103368,18361,1739,111.2,1.6046
2026-07-09T07:30:29-05:00,47258C70F0E6518314B18E2,0,2,empty,156312,139432514811,12528908,791,119000,15091,21470,892.0,1.6047
2026-07-09T07:30:29-05:00,47258C70F0E6518314B18E2,0,2,uncrypt,136299,13745698973,2272146,11506,105006,18385,1427,100.8,1.6047
2026-07-09T07:31:22-05:00,47258C70F0E6518314B18E2,0,3,empty,109166,136900364068,11063364,135,70914,15366,22800,1254.1,1.6047
2026-07-09T07:31:22-05:00,47258C70F0E6518314B18E2,0,3,uncrypt,116084,19866920654,2203609,6472,80289,25829,3522,171.1,1.6047
2026-07-09T07:32:14-05:00,47258C70F0E6518314B18E2,5000,1,empty,154774,148661827247,10897252,14,124087,5983,24711,960.5,1.6046
2026-07-09T07:32:14-05:00,47258C70F0E6518314B18E2,5000,1,uncrypt,216778,9532898508,2220650,20634,190064,6098,47,44.0,1.6046
2026-07-09T07:33:07-05:00,47258C70F0E6518314B18E2,5000,2,empty,135530,147522659094,12351210,5,101389,12056,22110,1088.5,1.6047
2026-07-09T07:33:07-05:00,47258C70F0E6518314B18E2,5000,2,uncrypt,190804,13454424930,2307058,13260,158465,18796,361,70.5,1.6047
2026-07-09T07:34:19-05:00,47258C70F0E6518314B18E2,5000,3,empty,153424,136300084516,12039124,14,122380,9259,21800,888.4,1.5410
2026-07-09T07:34:19-05:00,47258C70F0E6518314B18E2,5000,3,uncrypt,223301,11030555363,2021602,19912,193478,9860,113,49.4,1.5410
2026-07-09T07:35:11-05:00,47258C70F0E6518314B18E2,10000,1,empty,73003,136451716092,12562095,5,42385,7545,23078,1869.1,1.6047
2026-07-09T07:35:11-05:00,47258C70F0E6518314B18E2,10000,1,uncrypt,167833,19449049996,2336738,12610,128364,24537,2381,115.9,1.6047
2026-07-09T07:36:14-05:00,47258C70F0E6518314B18E2,10000,2,empty,77045,131015673932,12635057,6,47894,8772,20387,1700.5,1.5677
2026-07-09T07:36:14-05:00,47258C70F0E6518314B18E2,10000,2,uncrypt,176705,17688762727,2342318,15730,138686,20308,2048,100.1,1.5677
2026-07-09T07:37:06-05:00,47258C70F0E6518314B18E2,10000,3,empty,91395,129401496973,10066587,5,58232,10281,22893,1415.8,1.6046
2026-07-09T07:37:06-05:00,47258C70F0E6518314B18E2,10000,3,uncrypt,174004,17148653115,2086303,18362,132582,21470,1635,98.6,1.6046
