date,srcversion,block,position,cond,knobs,cpu_only,probe_mode,load_window_gbps,load_iperf_gbps,window_s,retransmits,softirq_ce,system_ce,total_busy_ce,ping_ms,hs_age_s,unc_n,unc_total_ns,steal_pulled,steal_unblocked,steal_dryruns,dmesg_new,raw_ref
2026-07-17T09:52:34-05:00,40814CD3CA80D0908BF87D3,1,1,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8015,2.8247,60.004,213,0.880,4.362,4.404,0.625,116,1625,93248455,2196814,2139800,305908,0,iperf_b1p1_bsteal4.json
2026-07-17T09:54:41-05:00,40814CD3CA80D0908BF87D3,1,2,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8009,2.5555,60.005,1000,0.967,4.459,4.501,0.637,0,10063,437824528,2159900,2104038,313449,0,iperf_b1p2_steal4.json
2026-07-17T09:56:28-05:00,40814CD3CA80D0908BF87D3,1,3,both,supp=1;headwake=1;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8017,3.1571,60.004,861,0.902,4.758,4.797,0.597,107,48967,1497721353,0,0,0,0,iperf_b1p3_both.json
2026-07-17T09:58:25-05:00,40814CD3CA80D0908BF87D3,1,4,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8019,3.1575,60.004,89,0.924,4.695,4.731,0.622,98,691099,19180527784,0,0,0,0,iperf_b1p4_off.json
