cond,rtt_ms
stock,1.50
stock,2.10
stock,1.51
stock,1.90
stock,1.70
stock,1.67
stock,2.04
stock,1.62
stock,1.73
stock,1.50
stock,1.74
stock,1.82
stock,1.79
stock,2.10
stock,2.32
stock,1.15
stock,1.11
stock,1.18
stock,1.08
stock,1.32
stock,1.29
stock,1.52
stock,1.39
stock,1.47
stock,1.78
stock,1.92
stock,1.23
stock,1.98
stock,1.56
stock,1.64
stock,1.72
stock,1.86
stock,2.29
stock,1.33
stock,1.95
stock,1.82
stock,2.06
stock,1.64
stock,1.44
stock,1.80
stock,1.62
stock,1.82
stock,1.95
stock,1.66
move,0.930
move,0.950
move,1.08
move,1.28
move,1.33
move,1.59
move,1.31
move,1.62
move,1.49
move,1.62
move,1.56
move,1.81
move,1.72
move,2.14
move,1.31
move,1.76
move,1.72
move,2.33
move,2.05
move,1.04
move,1.00
move,0.751
move,1.16
move,1.05
move,1.07
move,1.63
move,1.87
move,1.20
move,1.41
move,1.67
move,1.67
move,1.62
move,1.45
move,1.73
move,1.80
move,1.37
move,2.13
move,1.13
move,1.82
move,1.70
move,1.52
move,0.978
move,1.22
move,2.00
move,1.63
move,2.22
move,1.54
move,1.41
move,1.94
move,2.22
move,1.87
move,0.843
move,1.57
move,1.30
move,1.40
move,1.10
move,1.54
move,1.67
move,1.44
move,1.55
move,2.06
move,1.48
move,1.72
move,1.72
move,1.76
move,1.72
move,1.67
move,2.08
move,1.91
move,1.61
move,1.00
move,1.48
move,1.31
move,1.62
move,1.87
move,1.76
move,1.79
move,1.64
move,1.91
move,1.34
move,1.84
move,1.85
move,2.01
move,1.41
move,1.73
move,1.59
move,1.37
move,1.49
move,1.64
move,2.07
move,2.10
move,1.91
move,2.30
move,1.13
move,1.73
move,1.49
move,1.85
move,1.91
move,1.72
move,1.35
move,1.71
move,1.39
move,1.37
move,1.10
move,1.52
move,1.72
move,1.94
move,1.41
move,1.51
move,1.76
move,1.65
move,1.72
move,1.72
move,1.71
move,1.34
move,1.17
move,0.872
move,1.36
move,1.65
move,1.53
move,0.813
move,1.06
move,1.10
move,1.66
move,1.32
move,1.67
move,1.80
move,1.28
move,1.54
move,1.53
move,1.81
move,1.93
move,1.75
move,2.18
move,1.94
move,1.06
move,1.61
move,1.53
move,1.21
move,1.74
move,1.67
move,2.12
move,1.83
move,2.10
move,1.81
move,1.67
move,1.89
move,1.86
move,1.40
move,2.24
move,1.54
move,2.00
move,2.01
move,1.48
move,0.843
move,1.07
move,1.11
move,1.03
move,1.12
move,1.22
move,1.16
move,1.17
move,1.09
move,1.29
move,1.80
move,1.70
move,1.46
move,1.51
move,1.84
move,1.85
move,1.92
move,1.63
move,1.41
move,1.60
move,1.76
move,1.67
move,1.51
move,1.95
move,1.80
move,1.62
move,1.39
move,1.13
move,1.36
move,1.52
move,1.92
move,1.22
move,2.06
move,1.75
move,1.81
move,1.91
move,1.51
move,1.11
move,0.778
move,0.930
move,1.10
move,0.895
move,1.45
move,1.30
move,1.12
move,1.12
move,1.45
move,1.43
move,1.51
move,1.57
move,1.57
move,1.47
move,1.59
move,1.69
move,1.46
move,1.70
move,1.81
move,1.94
move,1.98
move,1.49
move,1.01
move,1.50
move,1.35
move,1.69
move,1.42
move,1.72
move,1.73
move,1.59
move,1.92
move,1.51
move,1.65
move,1.78
move,2.07
move,2.01
move,2.26
move,1.29
move,0.695
move,0.370
move,1.11
move,1.34
move,1.64
move,1.16
move,1.30
move,1.74
move,1.12
move,1.77
move,1.48
